
2025/02/05 (17:03:35) | ===> btop++ v.1.4.0
2025/02/05 (17:03:35) | WARNING: Failed to join _runner thread on exit!

2025/02/06 (10:34:55) | ===> btop++ v.1.4.0
2025/02/06 (10:34:55) | WARNING: Failed to join _runner thread on exit!

2025/02/11 (05:23:44) | ===> btop++ v.1.4.0
2025/02/11 (05:23:44) | WARNING: Failed to join _runner thread on exit!

2025/02/16 (11:39:59) | ===> btop++ v.1.4.0
2025/02/16 (11:39:59) | WARNING: Failed to join _runner thread on exit!

2025/02/18 (01:38:19) | ===> btop++ v.1.4.0
2025/02/18 (01:38:19) | WARNING: Failed to join _runner thread on exit!

2025/02/19 (13:16:48) | ===> btop++ v.1.4.0
2025/02/19 (13:16:48) | WARNING: Failed to join _runner thread on exit!

2025/02/19 (13:17:38) | ===> btop++ v.1.4.0
2025/02/19 (13:17:38) | WARNING: Failed to join _runner thread on exit!

2025/02/25 (07:22:20) | ===> btop++ v.1.4.0
2025/02/25 (07:22:20) | WARNING: Failed to join _runner thread on exit!

2025/02/27 (07:03:07) | ===> btop++ v.1.4.0
2025/02/27 (07:03:07) | WARNING: Failed to join _runner thread on exit!

2025/02/28 (04:54:08) | ===> btop++ v.1.4.0
2025/02/28 (04:54:08) | WARNING: Failed to join _runner thread on exit!

2025/03/01 (10:57:48) | ===> btop++ v.1.4.0
2025/03/01 (10:57:48) | WARNING: Failed to join _runner thread on exit!

2025/03/01 (11:36:58) | ===> btop++ v.1.4.0
2025/03/01 (11:36:58) | WARNING: Failed to join _runner thread on exit!

2025/03/05 (14:17:18) | ===> btop++ v.1.4.0
2025/03/05 (14:17:18) | WARNING: Failed to join _runner thread on exit!

2025/03/08 (06:23:16) | ===> btop++ v.1.4.0
2025/03/08 (06:23:16) | WARNING: Failed to join _runner thread on exit!

2025/03/10 (06:15:29) | ===> btop++ v.1.4.0
2025/03/10 (06:15:29) | WARNING: Failed to join _runner thread on exit!

2025/03/12 (23:18:28) | ===> btop++ v.1.4.0
2025/03/12 (23:18:28) | WARNING: Failed to join _runner thread on exit!

2025/03/20 (03:46:49) | ===> btop++ v.1.4.0
2025/03/20 (03:46:49) | WARNING: Failed to join _runner thread on exit!

2025/03/23 (23:41:12) | ===> btop++ v.1.4.0
2025/03/23 (23:41:12) | WARNING: Failed to join _runner thread on exit!

2025/03/27 (13:56:50) | ===> btop++ v.1.4.0
2025/03/27 (13:56:50) | WARNING: Failed to join _runner thread on exit!

2025/03/27 (15:06:36) | ===> btop++ v.1.4.0
2025/03/27 (15:06:36) | WARNING: Failed to join _runner thread on exit!

2025/03/29 (16:16:58) | ===> btop++ v.1.4.0
2025/03/29 (16:16:58) | WARNING: Failed to join _runner thread on exit!

2025/04/11 (02:23:16) | ===> btop++ v.1.4.0
2025/04/11 (02:23:16) | WARNING: Failed to join _runner thread on exit!

2025/04/11 (16:09:55) | ===> btop++ v.1.4.0
2025/04/11 (16:09:55) | WARNING: Failed to join _runner thread on exit!

2025/04/13 (19:23:11) | ===> btop++ v.1.4.0
2025/04/13 (19:23:11) | WARNING: Failed to join _runner thread on exit!

2025/04/13 (23:38:59) | ===> btop++ v.1.4.0
2025/04/13 (23:38:59) | WARNING: Failed to join _runner thread on exit!

2025/04/14 (07:28:29) | ===> btop++ v.1.4.0
2025/04/14 (07:28:29) | WARNING: Failed to join _runner thread on exit!

2025/04/15 (10:22:09) | ===> btop++ v.1.4.0
2025/04/15 (10:22:09) | WARNING: Failed to join _runner thread on exit!

2025/04/25 (16:59:32) | ===> btop++ v.1.4.0
2025/04/25 (16:59:32) | WARNING: Failed to join _runner thread on exit!

2025/04/25 (18:29:40) | ===> btop++ v.1.4.0
2025/04/25 (18:29:40) | WARNING: Failed to join _runner thread on exit!

2025/04/25 (18:30:32) | ===> btop++ v.1.4.0
2025/04/25 (18:30:32) | WARNING: Failed to join _runner thread on exit!

2025/04/26 (13:20:58) | ===> btop++ v.1.4.0
2025/04/26 (13:20:58) | WARNING: Failed to join _runner thread on exit!
